F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,Class
6.91,4.65,51.22,-10.81,20,19.95,-3.81,-7.84,5.94,20,16.65,-346.52,-9.88,16,FALSE
7.75,54.65,31.22,-11.51,95,39.15,-3.54,-7.18,1.08,20,24.87,-281.52,-8.4,13.6,TRUE
7.76,-5.35,51.22,-11.71,160,44.85,-0.33,-7.42,6.48,20,17.61,-396.52,-7.8,10.7,FALSE
6.35,64.65,51.22,-13.46,275,28.35,2.46,-8.3,13.23,20,18.57,-371.52,-10.7,18.4,TRUE
8.56,44.65,31.22,-10.81,150,17.7,1.38,-9.22,4.83,20,15.45,-341.52,-5.1,15.6,FALSE
10.98,34.65,21.22,-6.31,1,5.61,2.52,1.2,-6.87,2,33.51,-254.52,-0.68,1.52,TRUE
10.81,30.65,21.22,-6.3,12,5.4,3.81,-0.8,-5.97,2,28.17,-227.52,-1.94,0.7,TRUE
5.61,69.65,31.22,-13.86,170,21,3.21,-3.92,5.34,20,21.45,-391.52,-11.3,11.3,FALSE
6.33,54.65,51.22,-10.66,345,27,14.13,-10.04,10.17,20,23.13,-331.52,-9.56,20,FALSE
5.21,74.65,51.22,-14.26,255,19.5,3.03,-10.78,11.7,20,15.03,-426.52,-8.2,17.1,TRUE
8.59,-45.35,51.22,-12.56,90,15.75,-3.21,-8,3,20,16.2,-441.52,-8.98,11.8,FALSE
10.74,39.65,21.22,-5.47,16,6.33,0.93,0.08,-5.55,2,36.63,-261.52,-0.78,1.54,FALSE
14.63,19.65,25.22,-5.82,39,5.52,0.63,-0.5,-5.82,2,30,-260.52,0.54,0.36,FALSE
13.48,12.65,25.22,-5.98,27,2.19,4.29,4.32,-5.4,2,32.79,-259.52,0.46,1.02,FALSE
11.21,50.65,25.22,-6.21,35,4.98,6.09,6.6,-4.08,2,30.6,-260.52,-1.86,1.9,TRUE
7.75,44.65,51.22,-13.86,255,19.95,2.7,-9.8,11.28,20,12.3,-391.52,-11.16,14,TRUE
9.57,-35.35,71.22,-10.36,85,28.65,-2.49,-7.24,4.71,20,20.88,-421.52,-5.7,14.8,FALSE
12.04,40.65,25.22,-5.65,5,1.89,4.2,-1.42,-3.66,2,32.1,-226.52,-1.14,1.52,FALSE
10.63,27.65,25.22,-5.64,24,5.46,0.3,-0.02,-7.92,2,30.84,-231.52,-1.48,1.98,TRUE
5.33,99.65,51.22,-14.16,175,22.35,4.95,-12,13.32,20,12.93,-281.52,-10.32,13.1,TRUE
13.26,48.65,21.22,-6.26,21,2.04,8.64,3.5,-5.94,2,27.42,-243.52,-1.48,1.28,TRUE
5.3,29.65,51.22,-13.31,330,40.35,-1.77,-6.72,11.4,20,14.73,-346.52,-11.36,13.9,TRUE
4.7,69.65,31.22,-14.71,265,22.2,2.22,-9.26,13.98,20,14.73,-246.52,-11.68,13.1,TRUE
10.06,19.65,25.22,-6.2,12,1.92,2.04,-1.62,-1.71,2,30.51,-232.52,1.5,1.88,TRUE
11.56,17.65,29.22,-5.78,58,5.52,0.24,1.8,-7.08,0,30.36,-270.52,0.08,1.64,FALSE
10.67,22.65,29.22,-6.12,48,3.96,8.22,7.6,-3.03,2,27.81,-259.52,-1,0.08,FALSE
12.4,46.65,25.22,-5.95,63,5.7,6.42,0.18,-2.19,2,28.14,-238.52,-1.6,1.94,TRUE
6.57,39.65,31.22,-12.36,215,24.9,1.26,-10.24,7.95,20,15.12,-256.52,-7.64,10.3,FALSE
10.61,13.65,25.22,-6.1,52,4.38,1.08,-0.02,-7.83,2,28.62,-261.52,-1.12,0.36,FALSE
5.77,99.65,51.22,-15.01,150,21.15,2.52,-11.42,12.81,20,16.8,-396.52,-10.84,14.3,TRUE
7.42,49.65,51.22,-11.01,35,31.65,7.44,-2.82,6.84,20,16.65,-431.52,-4.58,15.2,FALSE
10.34,20.65,29.22,-5.77,68,5.22,1.71,-1.04,-5.01,2,28.83,-243.52,5.14,0.78,FALSE
6.29,29.65,31.22,-11.01,255,27.6,6.99,-3.78,4.65,20,16.23,-336.52,-8.94,14.2,FALSE
5.44,39.65,31.22,-14.96,205,32.25,10.41,-4.76,6.99,20,12.45,-341.52,-12.08,10.1,TRUE
7.95,-60.35,71.22,-10.86,345,28.2,0.9,-5.16,4.05,20,22.35,-446.52,-5.06,12.4,FALSE
5.96,-45.35,51.22,-12.06,25,19.2,1.08,-5.82,3.99,20,15.21,-261.52,-9.92,10.3,FALSE
10.29,44.65,25.22,-6.3,35,4.71,7.38,8.26,-6.93,2,32.31,-261.52,-1.56,0.72,TRUE
7.54,94.65,31.22,-11.31,60,25.35,4.62,-7.8,8.73,20,19.17,-416.52,-7.88,14.9,FALSE
11.07,13.65,29.22,-5.83,25,0.81,1.71,-0.42,-8.1,2,32.76,-245.52,-1.24,1.26,FALSE
11.78,36.65,21.22,-6.15,6,1.71,2.88,-2,-8.58,2,38.73,-234.52,-0.24,1.76,TRUE
12.43,22.65,29.22,-5.58,18,4.77,7.74,-0.14,-7.56,2,33.15,-242.52,-0.92,0.44,FALSE
8.72,114.65,31.22,-11.61,20,19.2,0.36,-5.96,6.42,20,18.03,-371.52,-8.68,11.1,FALSE
11.91,32.65,25.22,-5.52,1,4.62,8.85,2.42,-11.13,2,33.03,-259.52,1.4,2.02,FALSE
12.38,23.65,29.22,-5.79,44,3.69,0.63,-1.12,-4.05,2,33.48,-256.52,3.1,0.78,FALSE
14.3,24.65,29.22,-5.56,4,1.62,0.21,-1.08,-6.75,2,33.48,-251.52,-0.36,1.18,FALSE
10.53,10.65,25.22,-5.53,5,1.77,1.05,-0.4,-8.91,2,30.42,-226.52,7.08,1.38,FALSE
10.4,16.65,25.22,-5.73,6,2.85,0.54,1.5,-5.91,2,34.41,-246.52,2.16,1.46,FALSE
9.99,84.65,51.22,-10.91,85,27.6,-2.61,-7.5,7.56,20,20.58,-261.52,-9.08,11.6,FALSE
6.93,29.65,51.22,-14.21,200,18.15,0.9,-10.94,13.56,20,18.84,-381.52,-12.28,17.4,TRUE
11.43,20.65,29.22,-6.02,40,5.31,0.48,1.02,-6.57,2,38.19,-243.52,0.5,0.3,FALSE
10.64,38.65,25.22,-5.68,18,4.5,6.66,-1.22,-19.53,2,29.34,-241.52,4.48,1.28,FALSE
10.85,21.65,29.22,-6.07,24,4.62,0.96,-1.52,-3.27,2,28.05,-231.52,0.04,1.44,TRUE
15.01,10.65,25.22,-5.31,17,5.73,2.1,1.96,-4.05,2,29.13,-264.52,4.96,0.58,FALSE
10.94,21.65,29.22,-5.44,8,5.19,1.35,-0.86,-4.26,2,28.14,-263.52,1.3,1.62,TRUE
11.33,26.65,25.22,-5.94,16,5.46,1.86,-0.56,-2.91,2,28.17,-250.52,-0.9,1.16,TRUE
7.61,-25.35,51.22,-12.16,315,43.35,-2.91,-9.02,6.15,20,17.07,-386.52,-5.1,11.3,FALSE
13.11,14.65,25.22,-5.83,16,3.54,3.15,0.68,-3.72,2,36.51,-244.52,0.28,0.74,FALSE
6.67,19.65,51.22,-12.36,355,32.85,0.6,-9.96,9.21,20,14.28,-341.52,-9.06,11.9,FALSE
6.12,39.65,31.22,-11.46,260,21.15,8.34,-9.56,6.84,20,15.9,-311.52,-6.02,14.2,FALSE
10.43,16.65,29.22,-5.9,13,2.43,0.84,3.16,-6.78,2,33.12,-268.52,3.6,1.58,TRUE
10.31,42.65,21.22,-6.03,21,2.13,1.5,-0.96,-7.38,2,40.17,-242.52,0.5,1.74,TRUE
11.71,45.65,25.22,-5.47,13,4.32,6.9,0.26,-7.92,2,32.07,-254.52,0.4,1.52,FALSE
5.46,24.65,41.22,-14.36,315,19.65,5.46,-11.76,11.19,20,12,-386.52,-10.82,13.5,FALSE
10.25,24.65,25.22,-6.11,7,2.34,2.52,1.96,-7.14,2,31.05,-232.52,-0.76,0.18,FALSE
10.83,13.65,25.22,-5.66,8,5.1,-0.03,-0.18,-3.45,2,30.06,-260.52,-1.54,1.9,TRUE
6.39,4.65,71.22,-11.86,65,24.45,6.57,-9.24,9.15,20,30.27,-376.52,-3.84,12.5,FALSE
11.2,11.65,23.22,-5.66,0,4.86,-0.54,3.98,-5.52,2,29.88,-248.52,-1.38,0.84,TRUE
10.61,16.65,25.22,-6.21,42,1.47,1.62,0.56,-4.02,2,28.17,-263.52,1.96,1.34,TRUE
7.06,94.65,51.22,-10.46,55,29.25,10.2,-8.72,8.46,20,16.47,-456.52,-9.14,18.8,FALSE
11.37,27.65,29.22,-5.98,16,2.91,2.01,0.28,-10.08,2,32.76,-256.52,-1.4,1.72,TRUE
8.36,-70.35,71.22,-12.36,350,17.55,-1.38,-5.4,11.04,20,15.81,-411.52,-10.1,17.2,TRUE
11.19,26.65,29.22,-5.45,2,3.9,0.39,0.56,-4.95,2,30.15,-250.52,2.12,0.84,FALSE
12.57,37.65,25.22,-5.67,1,3.84,2.7,-0.58,-14.76,2,30.69,-229.52,0.06,0.36,FALSE
12.78,33.65,25.22,-6.21,6,0.96,1.71,-0.88,-6.39,2,35.91,-266.52,0.24,1.14,FALSE
11.11,36.65,25.22,-6.12,14,5.88,3.36,2.12,-2.55,2,35.94,-251.52,4.68,1.6,TRUE
10.04,18.65,25.22,-6.15,33,3.15,1.5,-0.68,-3.3,2,33.9,-238.52,1.84,1.96,TRUE
10.56,18.65,29.22,-5.97,29,0.15,6.69,2.24,-4.17,2,27.99,-243.52,-0.88,1.42,FALSE
11.34,36.65,21.22,-5.83,15,4.32,8.97,-1.28,-19.56,2,36.72,-246.52,-1.24,1.26,FALSE
10.73,41.65,25.22,-6.03,65,4.11,2.52,-0.94,-5.79,2,33.27,-261.52,3.54,1.34,TRUE
7.3,-55.35,71.22,-11.06,365,46.05,-1.02,-7.44,-1.08,20,19.92,-381.52,-7.76,10.7,FALSE
5.92,104.65,31.22,-12.96,215,20.7,3.39,-7.64,10.83,20,12.24,-266.52,-9.1,16,FALSE
6.06,64.65,31.22,-13.41,335,25.8,2.73,-0.86,8.82,20,14.49,-386.52,-10.92,14.6,FALSE
10.73,31.65,25.22,-5.92,11,4.05,5.28,2.3,-4.32,2,31.53,-244.52,1.78,0.3,FALSE
5.67,59.65,31.22,-12.01,185,26.25,2.52,-7.4,10.74,20,14.25,-296.52,-1.64,13.5,FALSE
11.06,10.65,29.22,-5.9,7,5.31,-0.9,0.02,-4.41,2,32.19,-235.52,5.72,0.44,TRUE
10.83,12.65,25.22,-6.17,36,4.47,0.78,9.46,-10.26,2,29.31,-263.52,-0.84,0.08,FALSE
13.07,9.65,25.22,-6.13,26,0.84,1.86,-0.84,-8.82,2,32.25,-255.52,1.8,1.9,TRUE
8.63,-15.35,71.22,-11.21,195,38.25,-1.74,-7.22,3.66,20,20.94,-446.52,-8.42,14.6,FALSE
6.22,39.65,31.22,-11.76,50,17.25,2.01,-9.96,8.73,20,15.96,-341.52,-10.26,14,FALSE
12.48,12.65,29.22,-5.81,43,1.05,3.12,-0.44,-10.56,2,31.29,-269.52,-0.92,1.88,FALSE
11.18,38.65,25.22,-5.89,3,3.27,5.82,1.42,-3.45,2,30.9,-250.52,-0.6,1.02,FALSE
12.09,44.65,21.22,-6.27,23,6.15,1.11,-1.48,-2.73,2,27.87,-231.52,-0.9,2.16,TRUE
7.35,19.65,71.22,-10.91,130,27.6,-3.45,-7.46,4.59,20,16.71,-291.52,-8.08,12.3,FALSE
6.15,94.65,51.22,-11.81,95,23.4,-0.81,-9.9,10.26,20,15.78,-286.52,-5.88,13.9,TRUE
6.93,49.65,51.22,-10.81,255,15.75,1.83,-10.06,11.37,20,15.18,-261.52,-10.42,17.2,FALSE
6.72,114.65,31.22,-14.91,80,25.2,1.05,-11.72,12.33,20,12.63,-366.52,-7.6,10.3,TRUE
9.14,114.65,31.22,-15.01,160,34.05,1.38,-9.44,7.68,20,13.62,-446.52,-5.9,11.9,TRUE
10.14,45.65,21.22,-6.14,11,4.11,14.67,1.46,-8.61,2,28.05,-243.52,0.3,1.7,TRUE
10.75,14.65,29.22,-6.01,31,2.19,0.69,-1.12,-4.5,2,34.77,-253.52,0.68,1.78,TRUE
10.46,11.65,29.22,-5.98,6,5.49,3.9,-0.34,-3.39,2,32.04,-245.52,-0.88,1.32,TRUE
10.59,18.65,29.22,-6.24,35,6.12,6.87,1.94,-4.71,2,37.59,-262.52,-1.34,1.62,TRUE
6.68,-60.35,71.22,-11.41,240,33.75,0.66,-8.04,1.32,20,19.53,-426.52,-6.38,14.3,FALSE
10.07,31.65,25.22,-6.28,3,2.31,1.41,-1.82,-3.36,2,27.24,-244.52,-0.82,1.14,TRUE
7.58,-30.35,51.22,-10.81,290,26.4,1.68,-10.34,10.74,20,16.44,-276.52,-9.52,16.7,TRUE
6.06,-75.35,71.22,-11.01,200,27.9,-3.54,-9.66,5.49,20,17.13,-331.52,-9.58,16.5,FALSE
6.31,29.65,31.22,-13.51,25,19.5,-1.62,-10.54,9.36,20,17.64,-416.52,-11.4,15.6,TRUE
7.09,114.65,51.22,-10.46,175,27.3,5.1,-4.66,6.48,20,19.8,-281.52,-6.56,10.5,FALSE
10.36,23.65,25.22,-5.98,15,3.99,2.49,0.14,-6.48,2,33.09,-244.52,3.24,1.44,TRUE
8.42,34.65,31.22,-14.01,170,17.25,4.98,-10.74,10.8,20,13.98,-416.52,-8.22,16.6,TRUE
12.84,23.65,25.22,-5.99,33,0.45,2.46,-1.54,-3.18,2,29.49,-243.52,0.02,1.46,TRUE
10.44,16.65,25.22,-6.35,54,3.33,5.04,-1.76,-5.55,2,27.45,-251.52,6.48,0.76,TRUE
10.59,20.65,29.22,-5.61,11,3,1.62,-1.6,-4.47,0,27.3,-225.52,1.96,1.32,TRUE
6.64,104.65,51.22,-10.86,65,25.5,-1.8,-7.32,8.13,20,16.92,-406.52,-8.46,16.3,FALSE
10.39,18.65,29.22,-6.2,9,4.59,-0.09,-1.78,-2.01,2,34.11,-241.52,-1.78,1.94,TRUE
6.95,-55.35,71.22,-11.91,280,31.2,-3.99,-7.38,7.14,20,16.38,-361.52,-9.96,16.7,TRUE
10.32,129.65,51.22,-10.61,35,35.85,-3.09,-7.94,4.83,20,20.04,-396.52,-2.24,14,FALSE
5.97,-30.35,51.22,-11.71,365,30.15,6.84,-9.44,2.67,20,22.2,-326.52,-10.12,13.1,FALSE
5.77,79.65,31.22,-11.86,175,34.95,2.07,-6.68,11.25,20,17.82,-306.52,-10.68,14.8,TRUE
7.08,119.65,31.22,-11.41,30,16.8,2.76,-4.48,6.27,20,16.68,-376.52,-8.16,13.9,FALSE
11.91,39.65,21.22,-5.98,29,3.99,3.39,-1.48,-6.27,2,28.08,-264.52,-0.32,1.38,FALSE
11.73,10.65,29.22,-5.92,8,3.42,0.12,-1.2,-8.13,2,29.31,-244.52,-0.36,0.6,TRUE
10.47,36.65,25.22,-5.6,21,4.86,3.39,-1.24,-3.63,2,33.54,-260.52,0.38,1.92,FALSE
10.17,59.65,31.22,-12.06,50,31.95,-3.24,-8.28,6.84,20,28.26,-426.52,-6.38,10.7,FALSE
10.45,25.65,25.22,-5.55,6,2.73,4.38,0.96,-3.81,2,31.56,-240.52,0,1.24,FALSE
11.48,48.65,25.22,-5.87,32,4.17,1.35,1.12,-3.3,2,29.61,-249.52,6.92,1.88,TRUE
10.52,20.65,29.22,-6.19,49,4.86,1.47,0.96,-3.84,2,27.66,-258.52,6.16,0.48,FALSE
5.99,9.65,51.22,-13.51,325,21.15,4.8,-9.54,8.94,20,14.22,-406.52,-10.32,10.7,FALSE
5.87,109.65,31.22,-10.81,370,19.05,3.81,-9.58,7.35,20,22.62,-221.52,-9.78,19.6,FALSE
10.15,23.65,25.22,-6.33,6,6.03,5.46,-0.92,-5.28,2,29.79,-246.52,3,0.72,TRUE
10.29,32.65,25.22,-6.29,9,1.2,0.99,0.86,-4.17,2,29.19,-261.52,0.64,0.52,FALSE
6.42,64.65,31.22,-10.36,70,26.25,-2.04,-6.2,9,20,29.91,-246.52,-7.98,14.4,FALSE
5.63,29.65,51.22,-11.71,100,17.25,1.05,-10.72,10.89,20,15.21,-361.52,-11.08,18.9,TRUE
10.32,10.65,25.22,-5.42,20,1.62,1.14,-1.12,-6.06,0,29.67,-245.52,-0.26,1.24,FALSE
8.62,-75.35,51.22,-13.56,205,20.25,-2.13,-9.12,9.51,20,18.51,-426.52,-9.02,12.4,TRUE
10.4,12.65,25.22,-5.62,20,5.67,-0.18,3.1,-3.72,2,30.24,-240.52,-0.02,1.82,TRUE
10.59,15.65,25.22,-5.84,12,2.28,8.61,2.72,-3.66,2,29.94,-271.52,-1.56,1.76,FALSE
10.67,24.65,25.22,-5.53,23,5.61,3.09,1.26,-5.52,2,33.09,-245.52,0.8,0.96,FALSE
6.16,74.65,51.22,-11.26,305,21.3,2.73,-10.5,10.35,20,14.4,-281.52,-9.88,17.3,FALSE
5.86,-5.35,51.22,-13.36,255,24.3,-0.54,-8.72,10.68,20,16.56,-431.52,-11.3,16.9,TRUE
11.46,25.65,29.22,-6.21,48,6.27,5.52,-1.26,-7.77,2,50.13,-258.52,-1.62,1.04,TRUE
11.04,17.65,25.22,-5.94,3,1.41,1.8,6.66,-12.12,2,34.71,-239.52,-0.74,1.8,TRUE
6.5,74.65,31.22,-13.31,285,30.3,4.47,-10.82,9.12,20,13.35,-406.52,-11.92,17.3,FALSE
7.5,99.65,31.22,-11.51,280,42.15,2.7,-11.44,8.28,20,13.65,-271.52,-12.1,19.9,TRUE
5.84,14.65,71.22,-11.16,320,34.95,-1.14,-5.26,6.42,20,14.76,-226.52,-9.98,19,TRUE
10.03,35.65,25.22,-6.3,28,2.19,3.36,1.58,-3.57,2,26.85,-234.52,-0.84,0.88,TRUE
10.91,12.65,25.22,-5.39,1,2.85,2.73,0.42,-4.92,2,28.59,-243.52,1.76,1.48,FALSE
6.43,79.65,51.22,-12.56,20,28.2,-1.65,-9.22,6.12,20,17.43,-371.52,-8.96,10.1,FALSE
5.68,29.65,41.22,-11.96,5,31.35,-3.96,-8.38,7.44,20,20.73,-261.52,-8.44,12,FALSE
15.28,16.65,29.22,-6.1,36,4.92,3.27,-0.96,-2.73,2,35.52,-233.52,2.04,0.52,TRUE
10.83,45.65,25.22,-5.34,8,4.86,1.17,-0.62,-6.96,2,31.47,-255.52,-0.34,1.7,FALSE
12.2,40.65,25.22,-6.03,4,4.11,2.76,0.74,-2.49,2,34.47,-234.52,-1.48,1.1,TRUE
11.49,44.65,25.22,-5.98,7,2.34,4.77,-1.38,-5.37,2,27.78,-252.52,0.64,0.7,FALSE
11.28,38.65,21.22,-5.98,15,4.65,6.66,-1.1,-2.82,2,29.19,-268.52,-1.6,1.44,FALSE
6.12,-20.35,51.22,-10.81,55,23.55,0.81,-7.38,6.48,20,15.15,-346.52,-10.42,18.1,FALSE
6.79,99.65,51.22,-10.61,15,19.95,-1.05,-5.6,7.32,20,17.52,-266.52,-8.58,10.7,FALSE
10.41,13.65,25.22,-6.24,55,0.66,2.76,0.3,-15.24,2,35.94,-259.52,0.44,1.32,TRUE
10.97,23.65,29.22,-5.88,33,2.4,0.96,0.78,-5.4,2,31.62,-235.52,5.88,0.68,FALSE
12.22,30.65,25.22,-5.57,4,6.12,4.26,-1.22,-3,2,33.09,-229.52,0.52,1.78,TRUE
8.56,34.65,31.22,-10.66,125,23.1,0.21,-5.34,3.84,20,25.56,-426.52,-3.72,11.2,FALSE
11.8,23.65,25.22,-6.05,54,3.21,3.15,0.42,-9.33,2,33.3,-269.52,4.44,1.3,FALSE
10.56,25.65,29.22,-6.04,70,2.97,4.77,1.74,-3.03,2,29.04,-263.52,-1.52,1.38,TRUE
10.32,22.65,25.22,-5.89,68,5.64,4.74,-1.16,-3.12,2,27.57,-258.52,-0.9,1.38,FALSE
7.2,119.65,51.22,-10.81,95,22.8,8.13,-7.2,6.96,20,20.46,-301.52,-8.04,11.9,FALSE
5.43,54.65,51.22,-13.31,325,25.95,2.04,-9.08,10.02,20,17.82,-291.52,-5.24,12.3,FALSE
6.9,-5.35,51.22,-10.36,175,21.3,-1.11,-6.88,8.1,20,16.17,-371.52,-6.82,16.7,FALSE
5.84,-10.35,51.22,-15.41,375,22.8,2.64,-5.32,6.69,20,18,-321.52,-6.9,11.2,TRUE
5.78,94.65,31.22,-11.16,35,21.45,2.19,-7.22,10.68,20,19.62,-386.52,-6,19,FALSE
10.7,22.65,25.22,-5.48,2,3.15,5.61,0.5,-6.27,2,32.97,-232.52,1.46,0.9,FALSE
11.52,42.65,21.22,-5.84,3,1.32,5.07,0.76,-2.88,2,27.3,-235.52,-0.16,1.5,TRUE
11.09,-30.35,51.22,-11.36,365,17.1,2.97,-6.88,6,20,23.04,-446.52,-9.12,17.3,FALSE
12.96,20.65,29.22,-6.1,1,0.78,2.82,-1.66,-22.44,2,34.47,-249.52,-0.2,1.58,TRUE
10.17,13.65,29.22,-5.82,72,3.66,6.39,0.14,-3.06,2,28.02,-229.52,-1.68,1.64,TRUE
5.41,-0.35,71.22,-10.66,325,16.5,0.75,-10.34,11.22,20,17.55,-226.52,-8.82,18.5,TRUE
7.62,114.65,31.22,-11.66,255,45.75,1.86,-10.58,12.03,20,13.08,-281.52,-11.1,18.2,TRUE
5.58,54.65,51.22,-12.56,335,18.75,2.43,-9,7.71,20,17.04,-321.52,-7.68,15.8,FALSE
10.56,23.65,29.22,-6.24,15,4.59,1.83,2.54,-5.28,2,32.01,-263.52,1.6,0.66,TRUE
5.82,119.65,51.22,-11.31,100,20.85,1.26,-6.34,8.85,20,16.29,-241.52,-10.38,18.7,TRUE
5.67,74.65,31.22,-11.31,325,37.2,2.37,-9.96,5.43,20,15.24,-361.52,-9.6,18.1,FALSE
11.56,20.65,25.22,-6.34,26,3.57,5.07,2.38,-2.79,2,28.23,-232.52,2.64,0.5,TRUE
13.97,19.65,29.22,-6.24,50,2.67,1.11,2.32,-10.98,2,29.61,-252.52,-0.78,0.96,TRUE
11.39,18.65,29.22,-6.12,24,4.44,-0.27,-1.88,-2.31,2,38.16,-232.52,5.3,1.6,TRUE
7.24,84.65,31.22,-10.86,55,32.25,4.92,-7.96,3.57,20,17.04,-416.52,-6.06,15.2,FALSE
13.51,44.65,25.22,-5.91,10,2.55,1.2,-0.54,-6.6,2,30.27,-240.52,2.04,0.56,FALSE
11.02,47.65,25.22,-6.09,6,5.34,4.14,-0.78,-9.27,2,31.05,-230.52,-0.8,0.28,FALSE
10.55,19.65,29.22,-6.29,65,3.21,2.67,5.82,-6.75,2,27.78,-273.52,-0.38,1.3,TRUE
10.35,15.65,25.22,-6.05,52,4.56,5.22,3.88,-2.88,0,28.5,-238.52,-0.38,0.32,TRUE
10.75,19.65,25.22,-5.62,3,5.04,2.04,3.24,-5.67,2,28.38,-263.52,4.48,0.94,TRUE
